	models	N_labels	accuracys
0	Dummy_Classfier	25_positions	0.05154639175257732
1	Dummy_Classfier	9_positions	0.07216494845360824
2	Dummy_Classfier	3_positions	0.29896907216494845
3	Gradien_Boosting	25_positions	0.020618556701030927
4	Gradien_Boosting	9_positions	0.14432989690721648
5	Gradien_Boosting	3_positions	0.5670103092783505
6	Logistic_regression	25_positions	0.05154639175257732
7	Logistic_regression	9_positions	0.20618556701030927
8	Logistic_regression	3_positions	0.6082474226804123
9	SVC	25_positions	0.010309278350515464
10	SVC	9_positions	0.17525773195876287
11	SVC	3_positions	0.6391752577319587
